Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population,2022 Population,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
205,Guinea-Bissau,8947,176.0,8656.0,115.0,145231.0,2063367.0,2105566,562620.0,519455.0,341495.0,1658.0,558071.0,27.91,25.77,16.94,870.7893081761006
206,Liberia,8062,294.0,7766.0,2.0,139824.0,5305117.0,5302681,1132502.0,1047889.0,1015633.0,10089.0,1093880.0,21.86,20.23,19.61,666.1829652996845
207,Sierra Leone,7760,126.0,,,259958.0,8306436.0,8605718,2134324.0,1727305.0,1114047.0,7981.0,2062290.0,26.22,21.22,13.68,692.120218579235
208,Chad,7652,194.0,4874.0,2584.0,191341.0,17413580.0,17723315,419469.0,282003.0,153238.0,0.0,414391.0,2.48,1.67,0.91,87.13523131672598
209,British Virgin Islands,7305,64.0,,,107339.0,30596.0,31305,40537.0,19165.0,17646.0,0.0,25262.0,133.24,63.0,58.0,2695.996753246753
210,Cook Islands,7011,2.0,6993.0,16.0,19690.0,17571.0,17011,29565.0,14992.0,14573.0,0.0,26789.0,168.25,85.32,82.93,4965.931596091205
211,Saint Kitts and Nevis,6592,46.0,6537.0,9.0,126903.0,53871.0,47657,60467.0,31162.0,26294.0,6553.0,61352.0,112.93,58.2,49.11,3113.540760869565
213,Sao Tome and Principe,6280,77.0,6202.0,1.0,29036.0,227679.0,227380,205085.0,113027.0,86046.0,0.0,201127.0,91.82,50.6,38.52,2522.2100840336134
216,Kiribati,5008,18.0,2703.0,2287.0,,123419.0,131232,133953.0,78620.0,55333.0,0.0,133016.0,110.35,64.77,45.58,3739.914675767918
217,Nauru,4621,1.0,4609.0,11.0,20509.0,10903.0,12668,16824.0,9150.0,7674.0,168.0,17063.0,154.73,84.15,70.58,4522.472622478386
218,Anguilla,3904,12.0,3879.0,13.0,51382.0,15230.0,15857,22714.0,10572.0,9624.0,1421.0,23128.0,150.18,69.9,63.63,3693.449275362319
221,Wallis and Futuna,3427,7.0,438.0,2982.0,20508.0,10982.0,11572,13073.0,6483.0,6457.0,0.0,12538.0,117.84,58.44,58.2,3054.5297297297298
222,Tuvalu,2805,,,2805.0,,12066.0,11312,12114.0,6230.0,5884.0,0.0,9639.0,101.58,52.24,49.34,4541.095505617977
224,Falkland Islands,1930,,1930.0,0.0,8632.0,3539.0,3780,4407.0,2632.0,1775.0,0.0,4933.0,124.91,74.6,50.31,21185.39393939394
225,Montserrat,1403,8.0,1376.0,19.0,17762.0,4965.0,4390,4211.0,1897.0,1804.0,0.0,4320.0,84.54,38.08,36.22,2115.4268292682927
226,Niue,747,,746.0,1.0,,1622.0,1934,4161.0,1650.0,1417.0,0.0,4324.0,257.81,102.23,87.79,10109.509433962265
231,Tokelau,5,,,5.0,,1378.0,1871,1936.0,968.0,968.0,0.0,1966.0,141.52,70.76,70.76,12718.106194690265
