Tytuł,Cena,Ekran:,Procesor,RAM,Grafika:,Dysk SSD,System operacyjny,Firma procesora
"Laptop gamingowy Lenovo Legion 5 16IRX9 16"" 240Hz i7-14650HX 16GB RAM 512GB Dysk SSD RTX4070 DLSS3 Win11 Szary",7399,"16 "", 2560 x 1600 pikseli 240 Hz",Intel® Core™ i7 14gen 14650HX,16,NVIDIA® GeForce RTX™ 4070 + Intel UHD Graphics,512,Windows 11 Home,Intel
"Laptop Acer Swift Go 14 SFG14-72-569V OLED 14"" Ultra 5 125H 16GB RAM 512GB Dysk SSD Win11 Srebrny",3949,"14 "", 2880 x 1800 pikseli 60 Hz",Intel® Core™ Ultra 5 14gen 125H,16,Intel® Arc Graphics,512,Windows 11 Home,Intel
"Laptop gamingowy Lenovo Legion 5 16IRX9 16"" 240Hz i7-14650HX 16GB RAM 512GB Dysk SSD RTX4070 DLSS3 Win11 Szary",7399,"16 "", 2560 x 1600 pikseli 240 Hz",Intel® Core™ i7 14gen 14650HX,16,NVIDIA® GeForce RTX™ 4070 + Intel UHD Graphics,512,Windows 11 Home,Intel
"Laptop Acer Swift Go 14 SFG14-72-569V OLED 14"" Ultra 5 125H 16GB RAM 512GB Dysk SSD Win11 Srebrny",3949,"14 "", 2880 x 1800 pikseli 60 Hz",Intel® Core™ Ultra 5 14gen 125H,16,Intel® Arc Graphics,512,Windows 11 Home,Intel
"Laptop Lenovo IdeaPad Slim 3 15ABR8 15,6"" R5 7530U 8GB RAM 512GB Dysk SSD Win11 Szary",1899,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 5 7530U,8,AMD Radeon™ Graphics,512,Windows 11 Home,AMD
"Laptop Acer Extensa 15 EX215-55-51WD 15,6"" i5-1235U 16GB RAM 1TB Dysk SSD Win11 Szary",2799,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ i5 12gen 1235U,16,Intel® Iris Xe Graphics,1024,Windows 11 Home,Intel
"Laptop Lenovo Yoga Slim 6 14IRH8 OLED 14"" i5-13500H 16GB RAM 512GB Dysk SSD Win11 Szary",3579,"14 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ i5 13gen 13500H,16,Intel® Iris Xe Graphics,512,Windows 11 Home,Intel
"Laptop gamingowy HP Victus 16-s0452nw 16,1"" 144Hz R7 7840HS 16GB RAM 512GB Dysk SSD RTX4060 DLSS3 Win11 Czarno-srebrny",4599,"16,1 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 7 7840HS,16,NVIDIA® GeForce RTX™ 4060 + AMD Radeon™ 780M,512,Windows 11 Home,AMD
"Apple MacBook Air 2024 15,3"" M3 16GB RAM 512GB Dysk macOS Północ",6999,"15,3"", 2880 x 1864 pikseli",Apple M3,16,Apple M3 (10-rdzeni),512,macOS Sonoma,Apple
"Apple MacBook Air 2024 13,6"" M3 16GB RAM 256GB Dysk macOS Północ",5199,"13,6 "", 2560 x 1664 pikseli",Apple M3,16,Apple M3 (8-rdzeni),256,macOS Sonoma,Apple
"Laptop gamingowy Lenovo LOQ 15IRH8 15,6"" 144Hz i5-12450H 16GB RAM 512GB Dysk SSD RTX3050 Win11 Szary",3299,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 12gen 12450H,16,NVIDIA® GeForce RTX™ 3050 + Intel UHD Graphics,512,Windows 11 Home,Intel
"Laptop gamingowy Lenovo Legion Slim 5 16AHP9 16"" 240Hz R7 8845HS 16GB RAM 512GB Dysk SSD RTX4060 DLSS3 Win11 Szary",6299,"16 "", 2560 x 1600 pikseli 240 Hz",AMD Ryzen™ 7 8845HS,16,NVIDIA® GeForce RTX™ 4060 + AMD Radeon™ 780M,512,Windows 11 Home,AMD
"Laptop gamingowy HP Victus 15-fa1652nw 15,6"" 144Hz i5-12450H 16GB RAM 512GB Dysk SSD RTX4050 DLSS3 Win11 Czarno-srebrny",3899,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 12gen 12450H,16,NVIDIA® GeForce RTX™ 4050 + Intel UHD Graphics,512,Windows 11 Home,Intel
"Laptop ASUS Vivobook Go 15 OLED E1504FA-L1367W 15,6"" R5 7520U 16GB RAM 512GB Dysk SSD Win11 Czarny",2499,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 5 7520U,16,AMD Radeon™ 610M,512,Windows 11 Home,AMD
"Laptop gamingowy ASUS TUF Gaming A15 FA506NCR-HN019 15,6''144Hz R7 7435HS 16GB RAM 512GB Dysk SSD RTX3050 Czarny",3399,"15,6 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 7 7435HS,16,NVIDIA® Geforce RTX 3050,512,Brak,AMD
"Laptop Lenovo Yoga Slim 7 15ILL9 Aura Edition 15,3"" Ultra 7 256V 16GB RAM 512GB Dysk SSD Win11 Szary",5999,"15,3"", ekran dotykowy 2880 x 1800 pikseli 120 Hz",Intel® Core™ Ultra 7 14gen 256V,16,Intel® Arc™ Graphics 140V,512,Windows 11 Home,Intel
"Laptop ultrabook ASUS Zenbook S 14 OLED UX5406SA-PV030W 14"" Ultra 7 258V 32GB RAM 1TB Dysk SSD Win11 Biały",7999,"14 "", 2880 x 1800 pikseli 120 Hz",Intel® Core™ Ultra 7 14gen 258V,32,Intel® Arc™ Graphics 140V,1024,Windows 11 Home,Intel
"Laptop Huawei MateBook D 14 2024 14"" i5-12450H 16GB RAM 512GB Dysk SSD Win11 Szary",2999,"14 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ i5 12gen 12450H,16,Intel® UHD Graphics,512,Windows 11 Home,Intel
"Apple MacBook Air 2024 15,3"" M3 8GB RAM 256GB Dysk macOS Księżycowa Poświata",5399,"15,3"", 2880 x 1864 pikseli",Apple M3,8,Apple M3 (10-rdzeni),256,macOS Sonoma,Apple
"Laptop gamingowy Gigabyte G6X 9KG 2024 9KG-43EE854SD 16"" 165Hz i7-13650HX 16GB RAM 1TB Dysk SSD RTX4060 DLSS3 Szary",4449,"16 "", 1920 x 1200 pikseli 165 Hz",Intel® Core™ i7 13gen 13650HX,16,NVIDIA® GeForce RTX 4060 + Intel UHD Graphics,1024,Brak,Intel
