Date_reported,Country,New_deaths,New_cases,daily_vaccinations,Year,Month,Day,Day_of_Week
2021-03-14,Germany,1104.0,71391.0,258071.0,2021,3,14,6
2021-03-14,United States,1491.0,64222.0,2576747.0,2021,3,14,6
2021-03-14,Japan,51.0,1033.0,29668.0,2021,3,14,6
2021-03-15,United States,958.0,52274.0,2593550.0,2021,3,15,0
2021-03-15,Japan,30.0,782.0,31354.0,2021,3,15,0
2021-03-15,Germany,0.0,0.0,259592.0,2021,3,15,0
2021-03-15,Pakistan,32.0,2664.0,15092.0,2021,3,15,0
2021-03-15,South Africa,65.0,1006.0,6559.0,2021,3,15,0
2021-03-15,Australia,0.0,13.0,12504.0,2021,3,15,0
2021-03-16,Australia,0.0,7.0,13604.0,2021,3,16,1
2021-03-16,Pakistan,29.0,2253.0,16989.0,2021,3,16,1
2021-03-16,South Africa,95.0,613.0,7176.0,2021,3,16,1
2021-03-16,Germany,0.0,0.0,249092.0,2021,3,16,1
2021-03-16,United States,651.0,47230.0,2619376.0,2021,3,16,1
2021-03-16,Japan,32.0,1025.0,35948.0,2021,3,16,1
2021-03-17,United States,693.0,43532.0,2625661.0,2021,3,17,2
2021-03-17,Japan,56.0,1473.0,41219.0,2021,3,17,2
2021-03-17,Germany,0.0,0.0,237075.0,2021,3,17,2
2021-03-17,Pakistan,58.0,2511.0,18885.0,2021,3,17,2
2021-03-17,South Africa,139.0,933.0,5647.0,2021,3,17,2
2021-03-17,Australia,0.0,16.0,14437.0,2021,3,17,2
2021-03-18,Australia,0.0,13.0,15092.0,2021,3,18,3
2021-03-18,Pakistan,61.0,2351.0,20782.0,2021,3,18,3
2021-03-18,South Africa,74.0,1531.0,5609.0,2021,3,18,3
2021-03-18,Germany,0.0,0.0,224039.0,2021,3,18,3
2021-03-18,United States,853.0,51806.0,2620388.0,2021,3,18,3
2021-03-18,Japan,39.0,1516.0,46788.0,2021,3,18,3
2021-03-19,United States,1075.0,59588.0,2607664.0,2021,3,19,4
2021-03-19,Japan,41.0,1456.0,49756.0,2021,3,19,4
2021-03-19,Germany,0.0,0.0,212338.0,2021,3,19,4
2021-03-19,Pakistan,61.0,3495.0,22678.0,2021,3,19,4
2021-03-19,South Africa,90.0,1464.0,5395.0,2021,3,19,4
2021-03-19,Australia,0.0,17.0,13505.0,2021,3,19,4
2021-03-20,Australia,0.0,9.0,13462.0,2021,3,20,5
2021-03-20,Pakistan,40.0,3449.0,24574.0,2021,3,20,5
