Tytuł,Cena,Sklep,Procesor,Pamięć,Grafika,Typ ekranu,Dysk
Apple MacBook Pro M4/32GB/512/Mac OS Gwiezdna Czerń 10R GPU,"10 499,00 zł",xkom,Apple M4,32 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/24GB/512/Mac OS Gwiezdna Czerń 10R GPU,"9 499,00 zł",xkom,Apple M4,24 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/16GB/512/MacOS Gwiezdna Czerń 10R GPU US Nano,"9 249,00 zł",xkom,Apple M4,16 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/16GB/512/Mac OS Gwiezdna Czerń 10R GPU US,"8 499,00 zł",xkom,Apple M4,16 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Apple MacBook Pro M4/16GB/512/Mac OS Gwiezdna Czerń 10R GPU Nano,"9 249,00 zł",xkom,Apple M4,16 GB,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",
Lenovo ThinkBook 14 Ryzen 5 7535HS/32GB/1TB/Win11P,"4 799,00 zł",xkom,AMD Ryzen™ 5 7535HS,32 GB,AMD Radeon™ 660M,"Matowy, LED, IPS",
Lenovo ThinkBook 14 Ryzen 5 7535HS/32GB/512+1TB/Win11P,"4 899,00 zł",xkom,AMD Ryzen™ 5 7535HS,32 GB,AMD Radeon™ 660M,"Matowy, LED, IPS",
Lenovo ThinkBook 14 Ryzen 5 7535HS/16GB/1TB/Win11P,"4 399,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,AMD Radeon™ 660M,"Matowy, LED, IPS",
Lenovo ThinkBook 14 Ryzen 5 7535HS/16GB/512+1TB/Win11P,"4 499,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,AMD Radeon™ 660M,"Matowy, LED, IPS",
Lenovo ThinkBook 16 Ryzen 5 7535HS/32GB/512+1TB/Win11P,"4 799,00 zł",xkom,AMD Ryzen™ 5 7535HS,32 GB,AMD Radeon™ 660M,"Matowy, LED, IPS",
Lenovo ThinkBook 16 Ryzen 5 7535HS/16GB/512+1TB/Win11P,"4 399,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,AMD Radeon™ 660M,"Matowy, LED, IPS",
Lenovo V15 i3‑1315U/24GB/1TB/Win11P,"3 199,00 zł",xkom,Intel® Core™ i3-1315U,24 GB,Intel UHD Graphics,"Matowy, LED",
Lenovo V15 i3‑1315U16GB/1TB/Win11P,"3 099,00 zł",xkom,Intel® Core™ i3-1315U,16 GB,Intel UHD Graphics,"Matowy, LED",
HP 255 G9 Ryzen 5‑5625U/32GB/512/Win11P,"2 629,00 zł",xkom,AMD Ryzen™ 5 5625U,32 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
Lenovo ThinkBook 16 Ryzen 5 7535HS/32GB/512/Win11P,"4 599,00 zł",xkom,AMD Ryzen™ 5 7535HS,32 GB,AMD Radeon™ 660M,"Matowy, LED, IPS",
Apple MacBook Air M3/24GB/512/Mac OS Księżycowa poświata 10R GPU,"8 999,00 zł",xkom,Apple M3,24 GB,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
Apple MacBook Air M3/16GB/256/Mac OS Księżycowa poświata 10R GPU,"6 999,00 zł",xkom,Apple M3,16 GB,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
Apple MacBook Air M3/24GB/512/Mac OS Księżycowa poświata 10R GPU,"7 999,00 zł",xkom,Apple M3,24 GB,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
