Tytuł,Cena,Sklep,Procesor,Pamięć,Grafika,Typ ekranu,Dysk
Lenovo Legion 5‑16 i7‑13650HX/32GB/512+1TB/Win11X RTX4060 165Hz,"6 099,00 zł",xkom,Intel® Core™ i7-13650HX,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Lenovo ThinkBook 16 Ultra 7‑155H/32GB/512+1TB/Win11P,"5 349,00 zł",xkom,Intel® Core™ Ultra 7 155H,32 GB,Intel Arc™ Graphics,"Matowy, LED",
Acer Extensa i5‑1235U/32GB/1TB/Win11 Szary,"2 599,00 zł",xkom,Intel® Core™ i5-1235U,32 GB,Intel UHD,"Matowy, LED, IPS",
ASUS TUF Gaming F16 i7‑13650HX/32GB/1TB/Win11 RTX4060 165Hz,"6 099,00 zł",xkom,Intel® Core™ i7-13650HX,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
ASUS TUF Gaming A15 R5‑7535HS/16GB/512/Win11 RTX4060 144Hz,"4 499,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Dell Vostro 3440 i5‑1334U/16GB/512/Win11P,"3 099,00 zł",xkom,Intel® Core™ i5-1334U,16 GB,Intel UHD,"Matowy, LED, WVA",
HP Dragonfly Pro One Ryzen 7‑7736U/32GB/1TB/Win11 Black,"3 399,00 zł",xkom,AMD Ryzen™ 7 7736U,32 GB,AMD Radeon™ Graphics,"Błyszczący, LED, IPS",
Lenovo IdeaPad 3‑17 i5‑1235U/8GB/512/Win11,"2 449,00 zł",xkom,Intel® Core™ i5-1235U,8 GB,Intel UHD Graphics + Intel UHD,"Matowy, LED, IPS",
Gigabyte AORUS 15 BKF i7‑13620H/16GB/1TB/Win11X RTX4060 165Hz,"4 944,00 zł",xkom,Intel® Core™ i7-13620H,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Acer Nitro V i5‑13420H/16GB/1TB/Win11 RTX2050 144Hz,"2 999,00 zł",xkom,Intel® Core™ i5-13420H,16 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
Lenovo ThinkPad T16 Ultra 5‑125U/32GB/512/Win11P,"7 499,00 zł",xkom,Intel® Core™ Ultra 5 125U,32 GB,Intel® Graphics,"Matowy, LED, IPS",
Lenovo ThinkPad T16 Ultra 5‑125U/16GB/512/Win11P,"7 099,00 zł",xkom,Intel® Core™ Ultra 5 125U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
Lenovo ThinkPad T14 Ryzen 7 PRO 8840U/16GB/512/Win11P,"7 099,00 zł",xkom,AMD Ryzen™ 7 PRO 8840U,16 GB,AMD Radeon™ 780M,"Matowy, LED, IPS",
Lenovo ThinkPad X1 2w1 Ultra 7‑155U/32GB/1TB/Win11P OLED,"16 299,00 zł",xkom,Intel® Core™ Ultra 7 155U,32 GB,Intel® Graphics,"Matowy, OLED",
Lenovo ThinkPad P1 Ultra 7‑165H/32GB/1TB/Win11P RTX4070 165Hz,"16 599,00 zł",xkom,Intel® Core™ Ultra 7 165H,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
ASUS ExpertBook 14 P5405CSA Ultra 7‑258V/32GB/1TB/Win11 144Hz,"6 599,00 zł",xkom,Intel® Core™ Ultra 7 258V,32 GB,Intel® Arc™ Graphics 140V,"Matowy, LED, WVA",
ASUS ExpertBook 14 P5405CSA Ultra 5‑226V/16GB/512/Win11 144Hz,"5 399,00 zł",xkom,Intel® Core™ Ultra 5 226V,16 GB,Intel® Arc™ Graphics 130V,"Matowy, LED, WVA",
Acer TravelMate P2 Core 5‑120U/16GB/512/Win11 Pro NBD,"3 699,00 zł",xkom,Intel® Core™ 5 120U,16 GB,Intel UHD Graphics,"Matowy, LED, IPS",
Acer Swift 14 AI X Plus X1P‑42‑100/16GB/512/Win11 120Hz,"3 999,00 zł",xkom,Qualcomm Snapdragon X Plus,16 GB,Qualcomm® Adreno™,"Matowy, LED, IPS",
Gigabyte AORUS 15X AKF i9‑13980HX/16GB/1TB+1TB/Win11 RTX4060 165Hz UK,"6 299,00 zł",xkom,Intel® Core™ i9-13980HX,16 GB,NVIDIA GeForce RTX 4060,,2000 GB SSD M.2 PCIe
Gigabyte G5 (2024) i7‑13620H/32GB/1TB+1TB/Win11+M365 RTX4050 144Hz UK,"4 599,00 zł",xkom,Intel® Core™ i7-13620H,32 GB,NVIDIA GeForce RTX 4050,,2000 GB SSD M.2 PCIe
Gigabyte G5 (2024) i7‑13620H/16GB/1TB+1TB/Win11+M365 RTX4050 144Hz UK,"4 199,00 zł",xkom,Intel® Core™ i7-13620H,16 GB,NVIDIA GeForce RTX 4050,,2000 GB SSD M.2 PCIe
Dell Vostro 3440 i5‑1334U/16GB/512/Win11P 2.2K,"3 899,00 zł",xkom,Intel® Core™ i5-1334U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, WVA",
Dell Latitude 5550 i5‑1335U/16GB/512+2TB/Win11P,"6 199,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Gigabyte AORUS 16X (2024) i7‑14650HX/16GB/1TB+1TB/W11X RTX4070 165Hz,"7 799,00 zł",xkom,Intel® Core™ i7-14650HX,16 GB,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,,2000 GB SSD M.2 PCIe
Acer Aspire 15 Core 5‑120U/16GB/512/Win11,"3 199,00 zł",xkom,Intel® Core™ 5 120U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
Dell XPS 13 9350 Ultra 7‑256V/16GB/512/Win11P AI,"10 499,00 zł",xkom,Intel® Core™ Ultra 7 256V,16 GB,Intel® Arc™ Graphics 140V,"Błyszczący, LED, WVA",
Dell Inspiron 5440 Intel 7 150U/16GB/1TB/Win11P MX570,"5 799,00 zł",xkom,Intel® Core™ 7 150U,16 GB,Intel® Graphics,"Matowy, LED, WVA",
Gigabyte AORUS 16X (2024) i7‑13650HX/16GB/1TB+1TB/Win11X RTX4060 165H,"5 799,00 zł",xkom,Intel® Core™ i7-13650HX,16 GB,NVIDIA GeForce RTX 4060,,2000 GB SSD M.2 PCIe
Gigabyte AORUS 16X (2024) i7‑13650HX/16GB/1TB+1TB RTX4060 165Hz,"5 299,00 zł",xkom,Intel® Core™ i7-13650HX,16 GB,NVIDIA GeForce RTX 4060,,2000 GB SSD M.2 PCIe
MSI Vector 17 HX i9‑14900HX/32GB/1TB/Win11 RTX4090 240Hz,"15 999,00 zł",xkom,Intel® Core™ i9-14900HX,32 GB,NVIDIA GeForce RTX 4090,"Matowy, LED, IPS",
MSI Vector 17 HX i9‑14900HX/32GB/1TB/Win11 RTX4080 240Hz,"11 999,00 zł",xkom,Intel® Core™ i9-14900HX,32 GB,NVIDIA GeForce RTX 4080,"Matowy, LED, IPS",
MSI Katana A17 AI Ryzen 7‑8845HS/32GB/1TB RTX4060,"5 799,00 zł",xkom,AMD Ryzen™ 7 8845HS,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
MSI Katana A17 AI Ryzen 7‑8845HS/32GB/1TB/Win11X RTX4060,"6 349,00 zł",xkom,AMD Ryzen™ 7 8845HS,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
MSI Katana A17 AI Ryzen 7‑8845HS/16GB/1TB/Win11X RTX4060,"5 949,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
MSI Katana A17 AI Ryzen 7‑8845HS/16GB/1TB RTX4060,"5 399,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
MSI Cyborg 15 i7‑13620H/32GB/512 RTX4060,"5 199,00 zł",xkom,Intel® Core™ i7-13620H,32 GB,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"Matowy, LED, IPS",
MSI Cyborg 15 i7‑13620H/32GB/512/Win11X RTX4060,"5 749,00 zł",xkom,Intel® Core™ i7-13620H,32 GB,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"Matowy, LED, IPS",
MSI Cyborg 15 i7‑13620H/16GB/512/Win11X RTX4060,"5 349,00 zł",xkom,Intel® Core™ i7-13620H,16 GB,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"Matowy, LED, IPS",
MSI Cyborg 15 i7‑13620H/16GB/512 RTX4060,"4 799,00 zł",xkom,Intel® Core™ i7-13620H,16 GB,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"Matowy, LED, IPS",
MSI Prestige A16 AI+ Ryzen AI 9‑365/32GB/1TB/Win11 OLED,"7 599,00 zł",xkom,AMD Ryzen™ AI 9 HX 365,32 GB,AMD Radeon™ 880M,"Błyszczący, OLED",
MSI Commercial 14 H i5‑13500H/32GB/1TB/Win11P,"4 799,00 zł",xkom,Intel® Core™ i5-13500H,32 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
MSI Commercial 14 H i5‑13500H/16GB/1TB/Win11P,"4 399,00 zł",xkom,Intel® Core™ i5-13500H,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Dell XPS 13 9350 Ultra 7‑258V/32GB/1TB/Win11P AI,"11 299,00 zł",xkom,Intel® Core™ Ultra 7 258V,32 GB,Intel® Arc™ Graphics 140V,"Błyszczący, LED, WVA",
Dell XPS 13 9350 Ultra 7‑256V/16GB/512/Win11P AI,"10 499,00 zł",xkom,Intel® Core™ Ultra 7 256V,16 GB,Intel® Arc™ Graphics 140V,"Błyszczący, LED, WVA",
Dell Inspiron 5441 X1P‑64‑100/16GB/1TB/Win11 AI,"5 299,00 zł",xkom,Qualcomm Snapdragon X Plus,16 GB,Qualcomm® Adreno™,"Matowy, LED, WVA",
Dell Latitude 5550 i7‑1365U/16GB/512+2TB/Win11P,"7 399,00 zł",xkom,Intel® Core™ i7-1365U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Dell Latitude 5550 i7‑1365U/16GB/512+1TB/Win11P,"7 199,00 zł",xkom,Intel® Core™ i7-1365U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
HP EliteBook 830 G11 Ultra 7‑165U/16GB/512/Win11P,"8 099,00 zł",xkom,Intel® Core™ Ultra 7 165U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 860 G11 Ultra 7‑165U/16GB/512/Win11P,"7 799,00 zł",xkom,Intel® Core™ Ultra 7 165U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 860 G11 Ultra 7‑155H/16GB/512/Win11P,"7 399,00 zł",xkom,Intel® Core™ Ultra 7 155H,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 860 G11 Ultra 7‑155U/16GB/512/Win11P,"7 199,00 zł",xkom,Intel® Core™ Ultra 7 155U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 860 G11 Ultra 5‑135U/16GB/512/Win11P,"6 499,00 zł",xkom,Intel® Core™ Ultra 5 135U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 860 G11 Ultra 5‑125H/16GB/512/Win11P,"6 699,00 zł",xkom,Intel® Core™ Ultra 5 125H,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 860 G11 Ultra 5‑125U/16GB/512/Win11P,"6 399,00 zł",xkom,Intel® Core™ Ultra 5 125U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP Elitebook 665 G11 Ryzen 7Pro‑7735U/16GB/512/Win11P,"5 699,00 zł",xkom,AMD Ryzen™ 7 PRO 7735U,16 GB,AMD Radeon™ 680M,"Matowy, LED, IPS",
HP Elitebook 665 G11 Ryzen 7‑7735U/16GB/512/Win11P,"5 399,00 zł",xkom,AMD Ryzen™ 7 7735U,16 GB,AMD Radeon™ 680M,"Matowy, LED, IPS",
HP Elitebook 665 G11 Ryzen 5Pro‑7535U/16GB/512/Win11P,"5 199,00 zł",xkom,AMD Ryzen™ 5 PRO 7535U,16 GB,AMD Radeon™ 660M,"Matowy, LED, IPS",
HP ProBook 465 Ryzen 5‑7535U/16GB/512/Win11P,"3 799,00 zł",xkom,AMD Ryzen™ 5 7535U,16 GB,AMD Radeon™ 660M,"Matowy, LED, IPS",
HP ProBook 460 G11 Ultra 7‑155H/16GB/512/Win11P,"4 999,00 zł",xkom,Intel® Core™ Ultra 7 155H,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP ProBook 460 G11 Ultra 7‑155U/16GB/512/Win11P,"4 899,00 zł",xkom,Intel® Core™ Ultra 7 155U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP ProBook 460 G11 Ultra 5‑125U/16GB/512/Win11P,"4 299,00 zł",xkom,Intel® Core™ Ultra 5 125U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP Elite x360 1040 G11 Ultra 7‑155H/16GB/512/Win11P,"9 399,00 zł",xkom,Intel® Core™ Ultra 7 155H,16 GB,Intel Arc™ Graphics,"Matowy, LED, IPS",
HP Elite x360 1040 G11 Ultra 7‑155H/32GB/1TB/Win11P,"9 699,00 zł",xkom,Intel® Core™ Ultra 7 155H,32 GB,Intel Arc™ Graphics,"Matowy, LED, IPS",
HP Elite x360 1040 G11 Ultra 7‑155H/16GB/512/Win11P,"9 149,00 zł",xkom,Intel® Core™ Ultra 7 155H,16 GB,Intel Arc™ Graphics,"Matowy, LED, IPS",
HP Elite x360 1040 G11 Ultra 7‑155H/32GB/1TB/Win11P,"9 699,00 zł",xkom,Intel® Core™ Ultra 7 155H,32 GB,Intel Arc™ Graphics,"Matowy, LED, IPS",
HP Elite x360 1040 G11 Ultra 7‑155H/16GB/512/Win11P,"9 599,00 zł",xkom,Intel® Core™ Ultra 7 155H,16 GB,Intel Arc™ Graphics,"Matowy, LED, IPS",
HP EliteBook 840 G11 Ultra 7‑155H/32GB/1TB/Win11P,"8 099,00 zł",xkom,Intel® Core™ Ultra 7 155H,32 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 840 G11 Ultra 7‑155U/16GB/512/Win11P 5G,"7 499,00 zł",xkom,Intel® Core™ Ultra 7 155U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 840 G11 Ultra 7‑165U/16GB/512/Win11P,"7 699,00 zł",xkom,Intel® Core™ Ultra 7 165U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 840 G11 Ultra 7‑155U/32GB/1TB/Win11P,"7 999,00 zł",xkom,Intel® Core™ Ultra 7 155U,32 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 840 G11 Ultra 7‑155U/16GB/512/Win11P 4G,"7 499,00 zł",xkom,Intel® Core™ Ultra 7 155U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 840 G11 Ultra 5‑135U/16GB/512/Win11P,"6 499,00 zł",xkom,Intel® Core™ Ultra 5 135U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP EliteBook 645 G11 Ryzen 7Pro‑7735U/32GB/1TB/Win11P,"6 299,00 zł",xkom,AMD Ryzen™ 7 PRO 7735U,32 GB,AMD Radeon™ 680M,"Matowy, LED, IPS",
HP EliteBook 645 G11 Ryzen 7Pro‑7735U/16GB/512/Win11P,"5 899,00 zł",xkom,AMD Ryzen™ 7 PRO 7735U,16 GB,AMD Radeon™ 680M,"Matowy, LED, IPS",
HP EliteBook 645 G11 Ryzen 7‑7735U/16GB/512/Win11P,"5 399,00 zł",xkom,AMD Ryzen™ 7 7735U,16 GB,AMD Radeon™ 680M,"Matowy, LED, IPS",
HP EliteBook 645 G11 Ryzen 5Pro‑7535U/16GB/512/Win11P,"5 399,00 zł",xkom,AMD Ryzen™ 5 PRO 7535U,16 GB,AMD Radeon™ 660M,"Matowy, LED, IPS",
HP ProBook 445 G11 Ryzen 7‑7735U/16GB/512/Win11P,"4 299,00 zł",xkom,AMD Ryzen™ 7 7735U,16 GB,AMD Radeon™ 680M,"Matowy, LED, IPS",
HP ProBook 445 G11 Ryzen 5‑7535U/16GB/512/Win11P,"3 899,00 zł",xkom,AMD Ryzen™ 5 7535U,16 GB,AMD Radeon™ 660M,"Matowy, LED, IPS",
HP ProBook 440 G11 Ultra 7‑155U/16GB/512/Win11P,"4 899,00 zł",xkom,Intel® Core™ Ultra 7 155U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
HP ProBook 440 G11 Ultra 5‑125H/16GB/512/Win11P,"4 399,00 zł",xkom,Intel® Core™ Ultra 5 125H,16 GB,Intel® Graphics,"Matowy, LED, IPS",
Lenovo Legion 5‑16 i5‑13450HX/32GB/512+1TB RTX4060,"6 199,00 zł",xkom,Intel® Core™ i5-13450HX,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Lenovo Legion 5‑16 i5‑13450HX/16GB/512+1TB/Win11X RTX4060,"6 349,00 zł",xkom,Intel® Core™ i5-13450HX,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
HP Omen 17 Ryzen 7‑8845HS/32GB/2TB/Win11x RTX4070 240Hz,"8 399,00 zł",xkom,AMD Ryzen™ 7 8845HS,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
HP Omen 17 Ryzen 7‑8845HS/32GB/1TB RTX4070 240Hz,"7 599,00 zł",xkom,AMD Ryzen™ 7 8845HS,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
HP Omen 14 Ultra 9‑185H/32GB/1TB/Win11x RTX4060 White,"10 549,00 zł",xkom,Intel® Core™ Ultra 9 185H,32 GB,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",
HP Omen 14 Ultra 9‑185H/32GB/1TB RTX4060 White,"9 999,00 zł",xkom,Intel® Core™ Ultra 9 185H,32 GB,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",
HP Omen 14 Ultra 9‑185H/32GB/1TB/Win11x RTX4070 White,"10 549,00 zł",xkom,Intel® Core™ Ultra 9 185H,32 GB,NVIDIA GeForce RTX 4070,"Błyszczący, OLED",
HP Omen 14 Ultra 9‑185H/32GB/1TB RTX4070 White,"9 999,00 zł",xkom,Intel® Core™ Ultra 9 185H,32 GB,NVIDIA GeForce RTX 4070,"Błyszczący, OLED",
ASUS ZenBook 14 UX3405MA Ultra 9‑185H/32GB/1TB/Win11P OLED 120Hz,"7 299,00 zł",xkom,Intel® Core™ Ultra 9 185H,32 GB,Intel Arc™ Graphics,"Błyszczący, OLED",
ASUS Vivobook 15 X1504VA i3‑1315U/8GB/512/Win11X,"2 299,00 zł",xkom,Intel® Core™ i3-1315U,8 GB,Intel UHD Graphics,"Matowy, LED, IPS",
ASUS Vivobook 15 X1504VA i3‑1315U/8GB/512,"1 799,00 zł",xkom,Intel® Core™ i3-1315U,8 GB,Intel UHD Graphics,"Matowy, LED, IPS",
Lenovo LOQ‑15 i5‑12450HX/24GB/512+1TB/Win11 RTX4060 144Hz,"4 599,00 zł",xkom,Intel® Core™ i5-12450HX,24 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
HP Omen 17 Ryzen 7‑8845HS/16GB/2TB/Win11x RTX4070 240Hz,"7 999,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
HP Omen 17 Ryzen 7‑8845HS/16GB/2TB RTX4070 240Hz,"7 449,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
HP Omen 17 Ryzen 7‑8845HS/16GB/1TB RTX4070 240Hz,"7 199,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
HP Omen 17 Ryzen 7‑8845HS/32GB/512/Win11x RTX4060 144Hz,"6 649,00 zł",xkom,AMD Ryzen™ 7 8845HS,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
HP Omen 17 Ryzen 7‑8845HS/16GB/512/Win11x RTX4060 144Hz,"6 249,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
HP Omen 16 Ryzen 7‑7840HS/32GB/1TB/Win11x RTX4070 240HZ,"8 249,00 zł",xkom,AMD Ryzen™ 7 7840HS,32 GB,NVIDIA GeForce RTX 4070 + AMD Radeon™ Graphics,"Matowy, LED, IPS",
HP Omen 16 Ryzen 7‑7840HS/32GB/2TB RTX4070 240HZ,"7 949,00 zł",xkom,AMD Ryzen™ 7 7840HS,32 GB,NVIDIA GeForce RTX 4070 + AMD Radeon™ Graphics,"Matowy, LED, IPS",
HP Omen 16 Ryzen 7‑7840HS/32GB/1TB RTX4070 240HZ,"7 699,00 zł",xkom,AMD Ryzen™ 7 7840HS,32 GB,NVIDIA GeForce RTX 4070 + AMD Radeon™ Graphics,"Matowy, LED, IPS",
HP Omen 16 i7‑14700HX/32GB/1TB/Win11x RTX4070 240Hz,"9 549,00 zł",xkom,Intel® Core™ i7-14700HX,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
HP Omen 16 i7‑14700HX/32GB/2TB RTX4070 240Hz,"9 249,00 zł",xkom,Intel® Core™ i7-14700HX,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
HP Omen 16 i7‑14700HX/32GB/1TB RTX4070 240Hz,"8 999,00 zł",xkom,Intel® Core™ i7-14700HX,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
HP Victus 16 Ryzen 7‑7840HS/16GB/1TB/Win11 RTX4060 144Hz,"5 249,00 zł",xkom,AMD Ryzen™ 7 7840HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Lenovo Legion Slim 5‑16 Ryzen 7‑8845HS/32GB/1TB RTX4070,"8 099,00 zł",xkom,AMD Ryzen™ 7 8845HS,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Lenovo Legion Slim 5‑16 Ryzen 7‑8845HS/32GB/1TB/Win11X RTX4060,"7 149,00 zł",xkom,AMD Ryzen™ 7 8845HS,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Lenovo Legion Slim 5‑16 Ryzen 7‑8845HS/32GB/512/Win11X RTX4060,"6 949,00 zł",xkom,AMD Ryzen™ 7 8845HS,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Lenovo Legion Slim 5‑16 Ryzen 7‑7435HS/32GB/512 RTX4070,"7 399,00 zł",xkom,AMD Ryzen™ 7 7435HS,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Lenovo Legion Slim 5‑16 Ryzen 7‑7435HS/32GB/512/Win11X RTX4070,"7 949,00 zł",xkom,AMD Ryzen™ 7 7435HS,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Lenovo Legion Slim 5‑16 Ryzen 7‑7435HS/16GB/512/Win11X RTX4070,"7 549,00 zł",xkom,AMD Ryzen™ 7 7435HS,16 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Lenovo Legion Slim 5‑16 Ryzen 7‑7435HS/16GB/512 RTX4070,"6 299,00 zł",xkom,AMD Ryzen™ 7 7435HS,16 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Lenovo LOQ‑15 Ryzen 7‑7435HS/32GB/1TB RTX4070 144Hz,"6 399,00 zł",xkom,AMD Ryzen™ 7 7435HS,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Lenovo LOQ‑15 Ryzen 7‑7435HS/32GB/1TB/Win11X RTX4070 144Hz,"6 949,00 zł",xkom,AMD Ryzen™ 7 7435HS,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Lenovo LOQ‑15 Ryzen 7‑7435HS/16GB/1TB/Win11X RTX4070 144Hz,"6 549,00 zł",xkom,AMD Ryzen™ 7 7435HS,16 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Lenovo LOQ‑15 Ryzen 7‑7435HS/16GB/1TB RTX4070 144Hz,"5 499,00 zł",xkom,AMD Ryzen™ 7 7435HS,16 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Lenovo Legion 5‑16 i7‑14650HX/32GB/1TB/Win11X RTX4070 240Hz,"8 549,00 zł",xkom,Intel® Core™ i7-14650HX,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Lenovo Legion 5‑16 i7‑14650HX/32GB/1TB RTX4070 240Hz,"7 999,00 zł",xkom,Intel® Core™ i7-14650HX,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Gigabyte AORUS 16X (2024) i7‑14650HX/16GB/1TB+1TB RTX4070 165Hz,"7 299,00 zł",xkom,Intel® Core™ i7-14650HX,16 GB,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,,2000 GB SSD M.2 PCIe
Lenovo LOQ‑15 i5‑12450HX/32GB/1TB/Win11 RTX3050 144Hz,"4 199,00 zł",xkom,Intel® Core™ i5-12450HX,32 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
Lenovo LOQ‑15 Ryzen 7‑7435HS/32GB/512 RTX4070 144Hz,"6 199,00 zł",xkom,AMD Ryzen™ 7 7435HS,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Lenovo LOQ‑15 Ryzen 7‑7435HS/32GB/512/Win11X RTX4070 144Hz,"6 749,00 zł",xkom,AMD Ryzen™ 7 7435HS,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Lenovo LOQ‑15 Ryzen 7‑7435HS/16GB/512/Win11X RTX4070 144Hz,"6 349,00 zł",xkom,AMD Ryzen™ 7 7435HS,16 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Lenovo Legion Pro 5‑16 i5‑14500HX/32GB/1TB RTX4060 240Hz,"6 699,00 zł",xkom,Intel® Core™ i5-14500HX,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Lenovo LOQ‑15 i5‑12450HX/32GB/1TB RTX4050 144Hz,"4 199,00 zł",xkom,Intel® Core™ i5-12450HX,32 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
Lenovo LOQ‑15 i5‑12450HX/32GB/1TB/Win11X RTX4050 144Hz,"4 749,00 zł",xkom,Intel® Core™ i5-12450HX,32 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
Lenovo LOQ‑15 i5‑12450HX/16GB/1TB/Win11X RTX4050 144Hz,"4 349,00 zł",xkom,Intel® Core™ i5-12450HX,16 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
HP Pavilion 15 Ryzen 7‑7730U/16GB/1TB/Win11Px Silver,"3 099,00 zł",xkom,AMD Ryzen™ 7 7730U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
HP Victus 16 Ryzen 5‑7640HS/16GB/1TB/Win11x RTX4060 144Hz,"4 699,00 zł",xkom,AMD Ryzen™ 5 7640HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
HP Victus 16 Ryzen 5‑7640HS/32GB/512/Win11x RTX4060 144Hz,"4 949,00 zł",xkom,AMD Ryzen™ 5 7640HS,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
HP Victus 16 Ryzen 5‑7640HS/16GB/512/Win11x RTX4060 144Hz,"4 549,00 zł",xkom,AMD Ryzen™ 5 7640HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
