Tytuł,Cena,Sklep,Procesor,RAM,Dysk SSD,Karta graficzna:,Ekran,System operacyjny,Dysk HDD:,Firma procesora
"Laptop ASUS VivoBook 17X M3704YA-AU122W 17.3"" IPS R5-7430U 16GB RAM 1TB SSD Windows 11 Home",3399.98,MediaExpert,AMD Ryzen 5 7430U,16,1000,AMD Radeon Graphics,17.3,Windows 11 Home,,AMD
"Laptop ACER Chromebook 514 CB514-1W-34CQ 14"" IPS i3-1115G4 8GB RAM 256GB SSD Chrome OS",2599.99,MediaExpert,Intel Core i3-1115G4,8,256,Intel UHD Graphics,14,Chrome OS,,Intel
"Laptop ASUS VivoBook S 15 S5507QA-MA049W 15.6"" OLED Snapdragon X1E-78-100 32GB RAM 1TB SSD Windows 11 Home",4822.28,MediaExpert,Qualcomm Snapdragon X Elite X1E-78-100,32,1000,Qualcomm Adreno,15.6,Windows 11 Home,,Qualcomm
"Laptop ASUS TUF Gaming A15 FA507UI-LP054 15.6"" IPS 144Hz R9-8945H 16GB RAM 512GB SSD GeForce RTX4070 DLSS 3",6299.0,MediaExpert,AMD Ryzen 9 8945H,16,512,NVIDIA GeForce RTX 4070 + AMD Radeon 780M,15.6,Brak,,AMD
"Laptop ASUS TUF Gaming A16 Advantage Edition FA617NSR-N0001W 16"" IPS 165Hz R7-7435HS 16GB RAM 512GB SSD Radeon RX7600S Windows 11 Home",3934.22,MediaExpert,AMD Ryzen 7 7435HS,16,512,AMD Radeon RX 7600S,16,Windows 11 Home,,AMD
"Laptop ASUS ExpertBook B1502CVA-BQ0109X 15.6"" i3-1315U 8GB RAM 512GB SSD Windows 11 Professional",2499.99,MediaExpert,Intel Core i3-1315U,8,512,Intel UHD Graphics,15.6,Windows 11 Professional,,Intel
"Laptop LENOVO V17 G4 IRU 17.3"" IPS i7-1355U 16GB RAM 512GB SSD Windows 11 Home",4402.1,MediaExpert,Intel Core i7-1355U,16,512,Intel Iris Xe Graphics,17.3,Windows 11 Home,,Intel
"Laptop HP Victus 15-FA0183NW 15.6"" IPS i5-12450H 8GB RAM 512GB SSD GeForce GTX1650",3899.99,MediaExpert,Intel Core i5-12450H,8,512,NVIDIA GeForce GTX 1650 + Intel UHD Graphics,15.6,Brak,,Intel
"Laptop ACER Aspire Vero AV14-51-53UN 14"" IPS i5-1235U 16GB RAM 512GB SSD Windows 11 Home",3628.62,MediaExpert,Intel Core i5-1235U,16,512,Intel Iris Xe Graphics,14,Windows 11 Home,,Intel
"Laptop ACER Aspire 5 A515-47 15.6"" IPS R5-5625U 16GB RAM 512GB SSD Windows 11 Home",3749.99,MediaExpert,AMD Ryzen 5 5625U,16,512,AMD Radeon Graphics,15.6,Windows 11 Home,,AMD
