Tytuł,Cena,Sklep,Procesor,RAM,Grafika,Typ ekranu,Dysk,Dysk SSD,Dysk SSD,System operacyjny,Firma procesora
Lenovo LOQ‑15 i5‑12450HX/32GB/512 RTX4050 144Hz,3799.0,xkom,Intel® Core™ i5-12450HX,32,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",,,0,Brak,Intel
Acer Swift X Ultra 7 155H/32GB/512/Win11 RTX4060 OLED 120Hz,5999.0,xkom,Intel® Core™ Ultra 7 155H,32,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",512,512,512,Windows 11 Home,Intel
ASUS TUF Gaming A15 R5‑7535HS/32GB/512/Win11 RTX4060 144Hz,4799.0,xkom,AMD Ryzen™ 5 7535HS,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",512,512,512,Windows 11 Home,AMD
ASUS Vivobook S16 Flip R5‑7530U/24GB/1TB/Win11,3699.0,xkom,AMD Ryzen™ 5 7530U,24,AMD Radeon™ Vega 7,"Błyszczący, LED, IPS",1TB,,1024,Windows 11 Home,AMD
Acer Swift Go Ultra 7 155U/16GB/512/Win11,3499.0,xkom,Intel® Core™ Ultra 7 155U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
Dell Vostro 3440 i5‑1334U/16GB/512/Win11P,3199.0,xkom,Intel® Core™ i5-1334U,16,Intel Iris Xe Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell Latitude 5450 Ultra 7 165U/32GB/512/Win11P,7649.0,xkom,Intel® Core™ Ultra 7 165U,32,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Lenovo LOQ 15 i5‑12450HX/16GB/512/Win11X RTX4060 144Hz,4299.0,xkom,Intel® Core™ i5-12450HX,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
Acer Nitro 17 R7‑8845HS/32GB/1TB+1TB/Win11X RTX4070 165Hz QHD,7849.0,xkom,AMD Ryzen™ 7 8845HS,32,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",1TB+1TB,,2048,Windows 11 Home,AMD
Lenovo LOQ‑15 i5‑12450HX/16GB/512 RTX3050 144Hz,3199.0,xkom,Intel® Core™ i5-12450HX,16,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",,,0,Brak,Intel
Dell Inspiron 16 Plus Ultra 7 155H/32GB/1TB/Win11P,6899.0,xkom,Intel® Core™ Ultra 7 155H,32,Intel Arc™ Graphics,"Matowy, LED, WVA",1TB,,1024,Windows 11 Professional,Intel
Dell Inspiron 14 Plus Ultra 9 185H/32GB/1TB/Win11P 2.8K,6899.0,xkom,Intel® Core™ Ultra 9 185H,32,Intel Arc™ Graphics,"Matowy, LED, WVA",1TB,,1024,Windows 11 Professional,Intel
Dell Inspiron 5440 Intel 5 120U/16GB/1TB/Win11,3799.0,xkom,Intel® Core™ 5 120U,16,Intel® Graphics,"Matowy, LED, WVA",1TB,,1024,Windows 11 Home,Intel
Gigabyte G5 (2024) i7‑13620H/16GB/512+1TB/Win11X RTX4050 144Hz,4299.0,xkom,Intel® Core™ i7-13620H,16,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Home,Intel
HP 17 i3‑N305/8GB/512/Win11 Silver,2399.0,xkom,Intel® Core™ i3-N305,8,Intel UHD Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
ASUS TUF Gaming A15 R7‑7735HS/32GB/512 RTX4060 144Hz,4999.0,xkom,AMD Ryzen™ 7 7735HS,32,NVIDIA GeForce RTX 4060 + AMD Radeon™ 680M,"Matowy, LED, IPS",,,0,Brak,AMD
ASUS Vivobook S14 Flip i5‑1335U/16GB/512/Win11 OLED 90Hz,3999.0,xkom,Intel® Core™ i5-1335U,16,Intel UHD Graphics,"Błyszczący, OLED",512,512,512,Windows 11 Home,Intel
HP Victus 15 i5‑13420H/8GB/512 RTX2050 144Hz,2799.0,xkom,Intel® Core™ i5-13420H,8,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",,,0,Brak,Intel
Gigabyte AORUS 7 9KF i5‑12500H/32GB/512/Win11X RTX4060 360Hz,5499.0,xkom,Intel® Core™ i5-12500H,32,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,,512,512,512,Windows 11 Home,Intel
Apple MacBook Air M2/8GB/256/Mac OS Silver,3949.0,xkom,Apple M2,8,Apple M2 [8 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",256,256,256,macOS Sonoma,Apple
HP EliteBook 640 G11 Ultra 7‑155U/32GB/1TB/Win11P,5999.0,xkom,Intel® Core™ Ultra 7 155U,32,Intel® Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
Dell Inspiron 3520 i5‑1235U/16GB/1TB/Win11 120Hz Srebrny,2599.0,xkom,Intel® Core™ i5-1235U,16,Intel Iris Xe Graphics,"Matowy, LED, WVA",1TB,,1024,Windows 11 Home,Intel
Dell Inspiron 16 i5‑1334U/16GB/512/Win11 2.5K,4099.0,xkom,Intel® Core™ i5-1334U,16,Intel UHD,"Matowy, LED, WVA",512,512,512,Windows 11 Home,Intel
HP Victus 16 Ryzen 7‑7840HS/32GB/512/Win11 RTX4060 144Hz,5499.0,xkom,AMD Ryzen™ 7 7840HS,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",512,512,512,Windows 11 Home,AMD
HP Victus 16 Ryzen 5‑7640HS/16GB/1TB RTX4060 144Hz,4149.0,xkom,AMD Ryzen™ 5 7640HS,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",,,0,Brak,AMD
HP Victus 16 i7‑14650HX/32GB/1TB RTX4060 144Hz,5999.0,xkom,Intel® Core™ i7-14650HX,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",,,0,Brak,Intel
Lenovo Legion Slim 5‑16 Ryzen 7‑8845HS/32GB/512+1TB RTX4060,5999.0,xkom,AMD Ryzen™ 7 8845HS,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",,,0,Brak,AMD
Lenovo Legion Slim 5‑16 Ryzen 7‑8845HS/32GB/512+1TB/Win11X RTX4060,6549.0,xkom,AMD Ryzen™ 7 8845HS,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Home,AMD
Lenovo Legion 5‑16 i7‑14650HX/32GB/512+1TB RTX4070 240Hz,7399.0,xkom,Intel® Core™ i7-14650HX,32,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",,,0,Brak,Intel
HP Victus 15 i5‑12450H/16GB/512 RTX3050 144Hz,2999.0,xkom,Intel® Core™ i5-12450H,16,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,"Matowy, LED, IPS",,,0,Brak,Intel
Acer Nitro 16 R7‑8845HS/32GB/1TB+1TB/Win11 RTX4060 165Hz,5949.0,xkom,AMD Ryzen™ 7 8845HS,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",1TB+1TB,,2048,Windows 11 Home,AMD
ASUS TUF Gaming A15 R7‑7435HS/16GB/1TB RTX3050 144Hz,3299.0,xkom,AMD Ryzen™ 7 7435HS,16,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",,,0,Brak,AMD
ASUS ZenBook 14 UX3402VA i7‑1360P/16GB/1TB/Win11P OLED 90Hz,4999.0,xkom,Intel® Core™ i7-1360P,16,Intel Iris Xe Graphics,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Intel
Gigabyte AORUS 15 BKF i7‑13620H/16GB/1TB+1TB RTX4060 165Hz,4744.0,xkom,Intel® Core™ i7-13620H,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",,,0,Brak,Intel
HP ProBook 450 G10 i5‑1335U/32GB/512/Win11P,3849.0,xkom,Intel® Core™ i5-1335U,32,Intel UHD,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Lenovo LOQ‑15 Ryzen 7‑7435HS/16GB/512 RTX4060 144Hz,4399.0,xkom,AMD Ryzen™ 7 7435HS,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",,,0,Brak,AMD
Acer Nitro 16 i5‑13420H/32GB/512+1TB/Win11 RTX4050 165Hz,4599.0,xkom,Intel® Core™ i5-13420H,32,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Home,Intel
Acer Nitro 16 i5‑13420H/32GB/512+1TB RTX4050 165Hz,4599.0,xkom,Intel® Core™ i5-13420H,32,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",,,0,Brak,Intel
Lenovo LOQ‑15 i5‑12450HX/16GB/512/Win11X RTX4050 144Hz,3699.0,xkom,Intel® Core™ i5-12450HX,16,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
Lenovo Yoga Pro 9‑16 Ultra 7‑155H/16GB/512/Win11 RTX4060 165Hz,6499.0,xkom,Intel® Core™ Ultra 7 155H,16,NVIDIA GeForce RTX 4060,"Matowy, mini-LED",512,512,512,Windows 11 Home,Intel
ASUS TUF Gaming A15 R7‑7435HS/32GB/1TB RTX4050 144Hz,4499.0,xkom,AMD Ryzen™ 7 7435HS,32,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",,,0,Brak,AMD
Dell Vostro 3440 i5‑1335U/16GB/512/Win11P 2.2K,3499.0,xkom,Intel® Core™ i5-1335U,16,Intel Iris Xe Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Microsoft Surface Pro Copilot+ PC X Elite/16GB/1TB ‑ OLED (Czarny),7799.0,xkom,Qualcomm Snapdragon X Elite,16,Qualcomm® Adreno™,"Błyszczący, OLED",,,0,Brak,Qualcomm
ASUS ROG Strix G18 i7‑13650HX/16GB/512/Win11 RTX4060 240Hz,7099.0,xkom,Intel® Core™ i7-13650HX,16,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
HP Omen 16 i7‑14700HX/32GB/1TB/Win11 RTX4060 165Hz,8799.0,xkom,Intel® Core™ i7-14700HX,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
Acer Nitro 17 R7‑8845HS/32GB/1TB+1TB/Win11PX RTX4070 165Hz QHD,7999.0,xkom,AMD Ryzen™ 7 8845HS,32,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",1TB+1TB,,2048,Windows 11 Professional,AMD
Acer Nitro V R5‑7535HS/32GB/512 RTX3050 144Hz,3299.0,xkom,AMD Ryzen™ 5 7535HS,32,NVIDIA GeForce RTX 3050,"Matowy, LED",,,0,Brak,AMD
Acer Nitro V R5‑7535HS/16GB/512/Win11X RTX3050 144Hz,3499.0,xkom,AMD Ryzen™ 5 7535HS,16,NVIDIA GeForce RTX 3050,"Matowy, LED",512,512,512,Windows 11 Home,AMD
Gigabyte AORUS 16X (2024) i7‑13650HX/32GB/1TB/Win11 RTX4070 165Hz,7449.0,xkom,Intel® Core™ i7-13650HX,32,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,,1TB,,1024,Windows 11 Home,Intel
HP Pavilion 16 Ryzen 7‑8840U/16GB/1TB/Win11 Touch Sky Blue,3499.0,xkom,AMD Ryzen™ 7 8840U,16,AMD Radeon™ Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
HP Pavilion 15 Ryzen 7‑7730U/32GB/1TB/Win11x Silver,2999.0,xkom,AMD Ryzen™ 7 7730U,32,AMD Radeon™ Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
HP 15 i5‑1334U/32GB/1TB/Win11,2849.0,xkom,Intel® Core™ i5-1334U,32,Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
Acer Aspire 3 i3‑1215U/8GB/512/Win11,1949.0,xkom,Intel® Core™ i3-1215U,8,Intel UHD Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
Acer Swift Go Ultra 7 155H/16GB/1TB/Win11 OLED,3799.0,xkom,Intel® Core™ Ultra 7 155H,16,Intel Arc™ Graphics,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,Intel
MSI Katana 15 i7‑13620H/32GB/1TB/Win11X RTX4070 144Hz,6849.0,xkom,Intel® Core™ i7-13620H,32,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
Apple MacBook Air M2/16GB/256/Mac OS Srebrny 10R GPU,4849.0,xkom,Apple M2,16,Apple M2 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",256,256,256,macOS Sonoma,Apple
Apple MacBook Air M3/16GB/512/Mac OS Srebrny 10R GPU,7999.0,xkom,Apple M3,16,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",512,512,512,macOS Sonoma,Apple
Apple MacBook Air M3/16GB/256/Mac OS Księżycowa poświata 10R GPU,6199.0,xkom,Apple M3,16,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",256,256,256,macOS Sonoma,Apple
ASUS Vivobook 16X i5‑13500H/24GB/1TB/Win11 RTX3050,3899.0,xkom,Intel® Core™ i5-13500H,24,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
ASUS TUF Gaming F15 i7‑13620H/16GB/1TB/Win11 RTX4050 144Hz,4599.0,xkom,Intel® Core™ i7-13620H,16,NVIDIA GeForce RTX 4050 + Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
ASUS ZenBook 14 UX3405MA Ultra 9‑185H/32GB/1TB/Win11 OLED 120Hz,6699.0,xkom,Intel® Core™ Ultra 9 185H,32,Intel Arc™ Graphics,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,Intel
Acer Chromebook Plus 514 Google AI laptop R5‑7520C/8GB/256/Chrome,1999.0,xkom,Ryzen™ 5 7520C,8,AMD Radeon™ 610M,"Matowy, LED, IPS",256,256,256,Chrome OS,Inne
Dell Inspiron 3535 Ryzen 5 7530U/16GB/512/Win11 120Hz Srebrny,2999.0,xkom,AMD Ryzen™ 5 7530U,16,AMD Radeon™ Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Home,AMD
Acer Extensa i5‑1235U/8GB/512/Win11 Szary,1999.0,xkom,Intel® Core™ i5-1235U,8,Intel UHD,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
HP 15 i7‑1355U/32GB/1TB/Win11Px,4399.0,xkom,Intel® Core™ i7-1355U,32,Intel UHD,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
HP Pavilion 15 Ryzen 5‑7530U/32GB/1TB/Win11 Forest Teal,3199.0,xkom,AMD Ryzen™ 5 7530U,32,AMD Radeon™ Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
Gigabyte AORUS 7 9KF i5‑12500H/16GB/512/Win11X RTX4060 360Hz,5249.0,xkom,Intel® Core™ i5-12500H,16,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,,512,512,512,Windows 11 Home,Intel
Dell Latitude 5540 i5‑1335U/16GB/512/Win11P,5449.0,xkom,Intel® Core™ i5-1335U,16,Intel Iris Xe Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
HP 15s Ryzen 7‑5700/8GB/512 IPS Silver,1999.0,xkom,AMD Ryzen™ 7 5700U,8,AMD Radeon™ Graphics,"Matowy, LED, IPS",,,0,Brak,AMD
Apple MacBook Air M2/16GB/512/Mac OS Space Gray,6249.0,xkom,Apple M2,16,Apple M2 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",512,512,512,macOS Sonoma,Apple
Lenovo V15 i7‑1355U/16GB/512/Win11P,3699.0,xkom,Intel® Core™ i7-1355U,16,Intel Iris Xe Graphics,"Matowy, LED",512,512,512,Windows 11 Professional,Intel
Apple MacBook Air M3/24GB/512/Mac OS Północ 10R GPU,7999.0,xkom,Apple M3,24,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",512,512,512,macOS Sonoma,Apple
Apple MacBook Pro M4/16GB/1TB/Mac OS Gwiezdna Czerń 10R GPU,9499.0,xkom,Apple M4,16,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Dell Inspiron 3520 i5‑1235U/16GB/512/Win11 120Hz Srebrny,2299.0,xkom,Intel® Core™ i5-1235U,16,Intel Iris Xe Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Home,Intel
Gigabyte AORUS 16X (2024) i7‑13650HX/32GB/1TB/Win11X RTX4060 165Hz,5899.0,xkom,Intel® Core™ i7-13650HX,32,NVIDIA GeForce RTX 4060,,1TB,,1024,Windows 11 Home,Intel
Gigabyte AORUS 16X (2024) i7‑13650HX/32GB/1TB RTX4060 165Hz,5399.0,xkom,Intel® Core™ i7-13650HX,32,NVIDIA GeForce RTX 4060,,,,0,Brak,Intel
Lenovo ThinkBook 16 G6 IRL i5‑13420H/32GB/512+1TB/Win11P,4399.0,xkom,Intel® Core™ i5-13420H,32,Intel UHD Graphics,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Professional,Intel
Lenovo ThinkBook 16 G6 IRL i5‑13420H/16GB/512+1TB/Win11P,3999.0,xkom,Intel® Core™ i5-13420H,16,Intel UHD Graphics,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Professional,Intel
Dell Inspiron 16 5645 Ryzen 5 8540U/16GB/512/Win11,3499.0,xkom,AMD Ryzen™ 5 8540U,16,AMD Radeon™ Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Home,AMD
Lenovo LOQ‑15 Ryzen 7‑7435HS/16GB/512 RTX4070 144Hz,5799.0,xkom,AMD Ryzen™ 7 7435HS,16,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",,,0,Brak,AMD
HP Victus 15 Ryzen 5‑8645HS/16GB/512 RTX4050 144Hz,3699.0,xkom,AMD Ryzen™ 5 8645HS,16,NVIDIA GeForce RTX 4050 + AMD Radeon™ Graphics,"Matowy, LED, IPS",,,0,Brak,AMD
Lenovo Legion 5‑16 i7‑14650HX/32GB/512+1TB/Win11X RTX4070,8499.0,xkom,Intel® Core™ i7-14650HX,32,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Home,Intel
Lenovo Legion Slim 5‑16 Ryzen 5‑7640HS/32GB/1TB+1TB/Win11 RTX4060,6699.0,xkom,AMD Ryzen™ 5 7640HS,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",1TB+1TB,,2048,Windows 11 Home,AMD
Lenovo IdeaPad Gaming 3‑15 R5‑5500H/16GB/512+1TB/Win11 RTX2050,2899.0,xkom,AMD Ryzen™ 5 5500H,16,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Home,AMD
MSI Summit 13 AI+ Evo Ultra 7‑258V/32GB/1TB/Win11P,7599.0,xkom,Intel® Core™ Ultra 7 258V,32,Intel® Arc™ Graphics 140V,"Błyszczący, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
Acer Nitro V16 R5‑8645HS/16GB/512/Win11 RTX3050 165Hz,3999.0,xkom,AMD Ryzen™ 5 8645HS,16,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",512,512,512,Windows 11 Home,AMD
ASUS ZenBook S14 UX5406SA Ultra 7‑258V/32GB/1TB/Win11 OLED 120Hz,7999.0,xkom,Intel® Core™ Ultra 7 258V,32,Intel® Arc™ Graphics 140V,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,Intel
ASUS Vivobook S16 M5606UA R7‑8845HS/32GB/1TB/Win11 OLED 120Hz,5499.0,xkom,AMD Ryzen™ 7 8845HS,32,AMD Radeon™ Graphics,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,AMD
Acer Nitro 17 R7‑8845HS/64GB/1TB+1TB RTX4070 165Hz QHD,7849.0,xkom,AMD Ryzen™ 7 8845HS,64,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",,,0,Brak,AMD
Acer Nitro 5 i5‑12500H/64GB/1TB+1TB/Win11PX RTX4060 165Hz,6149.0,xkom,Intel® Core™ i5-12500H,64,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB+1TB,,2048,Windows 11 Professional,Intel
HP Pavilion 15 i5‑1335U/16GB/1TB/Win11,3049.0,xkom,Intel® Core™ i5-1335U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
Lenovo ThinkBook 16 Ultra 5‑125U/16GB/512+1TB/Win11P,4199.0,xkom,Intel® Core™ Ultra 5 125U,16,Intel® Graphics,"Matowy, LED",512+1TB,,1536,Windows 11 Professional,Intel
Lenovo ThinkBook 16 Ultra 5‑125U/32GB/512+1TB/Win11P,4599.0,xkom,Intel® Core™ Ultra 5 125U,32,Intel® Graphics,"Matowy, LED",512+1TB,,1536,Windows 11 Professional,Intel
Lenovo Legion Pro 5‑16 i9‑14900HX/32GB/1TB RTX4070,8999.0,xkom,Intel® Core™ i9-14900HX,32,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",,,0,Brak,Intel
Lenovo LOQ‑15 Ryzen 5‑7235HS/16GB/512 RTX3050 144Hz,2999.0,xkom,AMD Ryzen™ 5 7235HS,16,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",,,0,Brak,AMD
Lenovo Legion Slim 5‑16 Ryzen 7‑8845HS/32GB/512/Win11 RTX4060 240Hz,6699.0,xkom,AMD Ryzen™ 7 8845HS,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",512,512,512,Windows 11 Home,AMD
Acer Nitro 16 i5‑13420H/8GB/512/Win11 RTX4050 165Hz,3599.0,xkom,Intel® Core™ i5-13420H,8,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
Lenovo ThinkPad E14 Ultra 7‑155H/16GB/512/Win11P,5199.0,xkom,Intel® Core™ Ultra 7 155H,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
ASUS TUF Gaming A14 R7‑8845HS/16GB/1TB/Win11 RTX4060 165Hz,5999.0,xkom,AMD Ryzen™ 7 8845HS,16,NVIDIA GeForce RTX 4060 + AMD Radeon™ Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
Acer Nitro V R7‑7735HS/32GB/1TB/Win11 RTX4060 144Hz,5299.0,xkom,AMD Ryzen™ 7 7735HS,32,NVIDIA GeForce RTX 4060,"Matowy, LED",1TB,,1024,Windows 11 Home,AMD
Lenovo ThinkPad L16 Ultra 5‑125U/16GB/512/Win11P,5299.0,xkom,Intel® Core™ Ultra 5 125U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Lenovo ThinkPad L14 Ultra 5‑125U/16GB/512/Win11P,5199.0,xkom,Intel® Core™ Ultra 5 125U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell G16 7630 i9‑13900HX/32GB/1TB/Win11 RTX4070 240Hz,8999.0,xkom,Intel® Core™ i9-13900HX,32,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,"Matowy, LED, WVA",1TB,,1024,Windows 11 Home,Intel
ASUS Vivobook 15 i5‑1335U/24GB/1TB/Win11,2999.0,xkom,Intel® Core™ i5-1335U,24,Intel UHD Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
ASUS Vivobook S14 Flip i5‑1335U/16GB/1TB/Win11,3499.0,xkom,Intel® Core™ i5-1335U,16,Intel UHD,"Błyszczący, LED, IPS",1TB,,1024,Windows 11 Home,Intel
ASUS TUF Gaming A15 R7‑7435HS/16GB/512 RTX4050 144Hz,3499.0,xkom,AMD Ryzen™ 7 7435HS,16,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",,,0,Brak,AMD
ASUS TUF Gaming A15 R7‑7435HS/16GB/512 RTX2050 144Hz,2899.0,xkom,AMD Ryzen™ 7 7435HS,16,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",,,0,Brak,AMD
Acer Swift Go Ultra 5 125H/16GB/512/Win11 Dotyk,2999.0,xkom,Intel® Core™ Ultra 5 125H,16,Intel® Graphics,"Błyszczący, LED, IPS",512,512,512,Windows 11 Home,Intel
Microsoft Surface Pro Copilot+ PC X Plus/16GB/512GB ‑ LCD (Czarny),4999.0,xkom,Qualcomm Snapdragon X Plus,16,Qualcomm® Adreno™,"Błyszczący, LED",,,0,Brak,Qualcomm
"Microsoft Surface Laptop Copilot+ PC 13"" X Elite/16GB/512GB(Platynowy)",6549.0,xkom,Qualcomm Snapdragon X Elite,16,Qualcomm® Adreno™,"Błyszczący, LED",,,0,Brak,Qualcomm
"Microsoft Surface Laptop Copilot+ PC 13"" X Plus/16GB/512GB (Platynowy)",5749.0,xkom,Qualcomm Snapdragon X Plus,16,Qualcomm® Adreno™,"Błyszczący, LED",,,0,Brak,Qualcomm
HP Dragonfly Pro One Ryzen 7‑7736U/32GB/1TB/Win11Px Black,4699.0,xkom,AMD Ryzen™ 7 7736U,32,AMD Radeon™ Graphics,"Błyszczący, LED, IPS",1TB,,1024,Windows 11 Professional,AMD
Lenovo ThinkPad X1 Carbon Ultra 7‑155U/32GB/1TB/Win11P,13999.0,xkom,Intel® Core™ Ultra 7 155U,32,Intel® Graphics,"Matowy, OLED",1TB,,1024,Windows 11 Professional,Intel
Gigabyte AORUS 16X (2024) i7‑13650HX/16GB/1TB/Win11 RTX4070 165Hz,6899.0,xkom,Intel® Core™ i7-13650HX,16,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,,1TB,,1024,Windows 11 Home,Intel
ASUS Vivobook 16X i5‑13500H/16GB/512/Win11 RTX3050,3499.0,xkom,Intel® Core™ i5-13500H,16,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
HP Pavilion 15 i5‑1335U/32GB/1TB/Win11 White,2949.0,xkom,Intel® Core™ i5-1335U,32,Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
HP Pavilion 15 i5‑1335U/16GB/1TB/Win11 Fog Blue,2699.0,xkom,Intel® Core™ i5-1335U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
HP Pavilion 15 Ryzen 7‑7730U/32GB/1TB Silver,2449.0,xkom,AMD Ryzen™ 7 7730U,32,AMD Radeon™ Graphics,"Matowy, LED, IPS",,,0,Brak,AMD
HP 15 i5‑1334U/16GB/1TB/Win11,2649.0,xkom,Intel® Core™ i5-1334U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
HP Envy 14 x360 Ultra 5‑125U/16GB/512/Win11 120Hz OLED Blue,3499.0,xkom,Intel® Core™ Ultra 5 125U,16,Intel® Graphics,"Błyszczący, OLED",512,512,512,Windows 11 Home,Intel
HP Envy 14 x360 Ultra 7‑155U/32GB/1TB/Win11 120Hz OLED Blue,5899.0,xkom,Intel® Core™ Ultra 7 155U,32,Intel® Graphics,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,Intel
Dell Inspiron 5440 Intel 7 150U/16GB/512/Win11,3999.0,xkom,Intel® Core™ 7 150U,16,Intel® Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Home,Intel
