Tytuł,Cena,Sklep,Procesor,RAM,Grafika,Typ ekranu,Dysk,Dysk SSD,Dysk SSD,System operacyjny,Firma procesora
Apple MacBook Pro M4 Pro/24GB/1TB/Mac OS Srebrny 20R GPU,12499.0,xkom,Apple M4 Pro,24,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4/24GB/1TB/Mac OS Gwiezdna Czerń 10R GPU,10499.0,xkom,Apple M4,24,Apple M4 [10 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Dell Latitude 3550 i5‑1335U/32GB/1TB/Win11P,5999.0,xkom,Intel® Core™ i5-1335U,32,Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
MSI Modern 14 H i7‑13620H16GB/512/Win11,2799.0,xkom,Intel® Core™ i7-13620H,16,Intel UHD Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
HP Pavilion 15 Ryzen 7‑7730U/32GB/1TB/Win11Px Silver,3149.0,xkom,AMD Ryzen™ 7 7730U,32,AMD Radeon™ Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,AMD
Lenovo IdeaPad Gaming 3‑15 R5‑5500H/32GB/512+1TB/ RTX2050 144Hz,2999.0,xkom,AMD Ryzen™ 5 5500H,32,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",512+1TB,,1536,Brak,AMD
Lenovo IdeaPad Gaming 3‑15 R5‑5500H/32GB/512+1TB/Win11 RTX2050,3199.0,xkom,AMD Ryzen™ 5 5500H,32,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Home,AMD
Acer Nitro 16 i5‑13420H/16GB/1TB RTX4050 165Hz,4149.0,xkom,Intel® Core™ i5-13420H,16,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",,,0,Brak,Intel
Dell Latitude 3550 i7‑1355U/16GB/512/Win11P,5399.0,xkom,Intel® Core™ i7-1355U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Latitude 3550 i5‑1335U/16GB/512/Win11P,3699.0,xkom,Intel® Core™ i5-1335U,16,Intel UHD,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Latitude 3450 i5‑1335U/16GB/512/Win11P,4399.0,xkom,Intel® Core™ i5-1335U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Latitude 5540 i5‑1335U/16GB/512+1TB/Win11P,5599.0,xkom,Intel® Core™ i5-1335U,16,Intel Iris Xe Graphics,"Matowy, LED, WVA",512+1TB,,1536,Windows 11 Professional,Intel
MSI Vector 17 HX i9‑14900HX/32GB/1TB/Win11 RTX4080 240Hz,11799.0,xkom,Intel® Core™ i9-14900HX,32,NVIDIA GeForce RTX 4080,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
HP ProBook 450 G10 i5‑1335U/16GB/1TB/Win11P,3799.0,xkom,Intel® Core™ i5-1335U,16,Intel UHD,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
Lenovo LOQ‑15 i5‑12450HX/16GB/512/Win11 RTX4050 144Hz,3999.0,xkom,Intel® Core™ i5-12450HX,16,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
ASUS TUF Gaming A15 R5‑7535HS/32GB/1TB/Win11 RTX4060 144Hz,5099.0,xkom,AMD Ryzen™ 5 7535HS,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
Acer Extensa i5‑1235U/16GB/512/Win11 Szary,2149.0,xkom,Intel® Core™ i5-1235U,16,Intel UHD,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
ASUS Zenbook S13 UX5304MA Ultra 7‑155U/32GB/1TB/Win11 OLED,6999.0,xkom,Intel® Core™ Ultra 7 155U,32,Intel® Graphics,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,Intel
HP 15 i5‑1334U/32GB/512/Win11,2699.0,xkom,Intel® Core™ i5-1334U,32,Intel Iris Xe Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
HP Pavilion 14 x360 i5‑1335U/16GB/512/Win11 Blue,3499.0,xkom,Intel® Core™ i5-1335U,16,Intel Iris Xe Graphics,"Błyszczący, LED, IPS",512,512,512,Windows 11 Home,Intel
Dell Inspiron 5445 Ryzen 7 8840U/16GB/1TB/Win11,4299.0,xkom,AMD Ryzen™ 7 8840U,16,AMD Radeon™ Graphics,"Matowy, LED, WVA",1TB,,1024,Windows 11 Home,AMD
Apple MacBook Air M3/16GB/512/Mac OS Księżycowa poświata 10R GPU,7999.0,xkom,Apple M3,16,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",512,512,512,macOS Sonoma,Apple
ASUS Vivobook Pro 15 Ultra 9‑185H/24GB/1TB/W11P RTX4060 OLED120Hz,6799.0,xkom,Intel® Core™ Ultra 9 185H,24,NVIDIA GeForce RTX 4060 + Intel Arc™ Graphics,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Intel
ASUS ROG Strix G18 i7‑13650HX/32GB/1TB/Win11 RTX4070 240Hz,8899.0,xkom,Intel® Core™ i7-13650HX,32,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
Gigabyte AORUS 15 BKF i7‑13700H/32GB/1TB/Win11 RTX4060 165Hz,5899.0,xkom,Intel® Core™ i7-13700H,32,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
MSI Cyborg 15 i5‑12450H/32GB/512/Win11X RTX4060 144Hz,4549.0,xkom,Intel® Core™ i5-12450H,32,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
HP 15s Ryzen 7‑5700/32GB/960 IPS Silver,2449.0,xkom,AMD Ryzen™ 7 5700U,32,AMD Radeon™ Graphics,"Matowy, LED, IPS",,,0,Brak,AMD
HP ProBook 450 G10 i7‑1355U/32GB/512/Win11P,4099.0,xkom,Intel® Core™ i7-1355U,32,Intel UHD,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Apple MacBook Air M3/16GB/256/Mac OS Gwiezdna szarość 8R GPU,5199.0,xkom,Apple M3,16,Apple M3 [8 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",256,256,256,macOS Sonoma,Apple
Apple MacBook Air M2/16GB/256/Mac OS Srebrny 8R GPU,4499.0,xkom,Apple M2,16,Apple M2 [8 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",256,256,256,macOS Sonoma,Apple
Apple MacBook Pro M4 Pro/24GB/512/Mac OS Srebrny 20R GPU,12999.0,xkom,Apple M4 Pro,24,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",512,512,512,macOS Sonoma,Apple
HP Pavilion Plus 16 Ultra 7‑155H/32GB/1TB/Win11Pro,6299.0,xkom,Intel® Core™ Ultra 7 155H,32,Intel Arc™ Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
Dell Latitude 3450 i5‑1335U/16GB/512/Win11P,3999.0,xkom,Intel® Core™ i5-1335U,16,Intel UHD,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Latitude 3450 i5‑1345U/16GB/512/Win11P,4499.0,xkom,Intel® Core™ i5-1345U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
MSI Thin 15 i5‑12450H/32GB/512 RTX2050 144Hz,2699.0,xkom,Intel® Core™ i5-12450H,32,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",,,0,Brak,Intel
ASUS Vivobook S15 S5507QA X Plus X1P‑42‑100/16GB/1TB/W11 OLED AI,3599.0,xkom,Qualcomm Snapdragon X Plus,16,Adreno,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,Qualcomm
ASUS Vivobook S14 M5406WA R9‑HX370 AI/32GB/1TB/Win11 OLED 120Hz,6499.0,xkom,AMD Ryzen™ AI 9 HX 370,32,AMD Radeon™ 890M,"Błyszczący, OLED",1TB,,1024,Windows 11 Home,AMD
Lenovo ThinkPad T14 Ultra 7‑155U/32GB/1TB/Win11P,7799.0,xkom,Intel® Core™ Ultra 7 155U,32,Intel® Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
