Tytuł,Cena,Sklep,Procesor:,RAM:,Dysk SSD:,Karta graficzna:,Ekran:,System operacyjny:,Dysk HDD:
"Laptop ASUS ROG Strix Scar G533QS-HF007T 15.6"" IPS 300Hz R7-5800H 16GB RAM 1TB SSD GeForce RTX3080 Windows 10 Home","11 499
98
zł",ediaexpert,AMD Ryzen 7 5800H,"16GB, DDR4, 3200MHz",1000GB PCIe NVMe 3.0,NVIDIA GeForce RTX 3080 + AMD Radeon Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 300Hz",Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),
"Laptop ASUS ROG Zephyrus G15 GA503QS-HQ020T 15.6"" IPS 165Hz R7-5800HS 16GB RAM 1TB SSD GeForce RTX3080 Windows 10 Home","7 139
00
zł",ediaexpert,AMD Ryzen 7 5800HS,"16GB, DDR4, 3200MHz",1000GB PCIe NVMe 3.0,NVIDIA GeForce RTX 3080 + AMD Radeon Graphics,"15.6"", 2560 x 1440px, Matryca IPS, 165Hz",Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),
"Laptop ASUS ROG Strix G15 G513QR-HF010T 15.6"" IPS 300Hz R7-5800H 16GB RAM 1TB SSD GeForce RTX3070 Windows 10 Home","7 139
00
zł",ediaexpert,AMD Ryzen 7 5800H,"16GB, DDR4, 3200MHz",1000GB PCIe NVMe 3.0,NVIDIA GeForce RTX 3070 + AMD Radeon Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 300Hz",Windows 10 Home,
"Laptop ASUS ROG Strix G17 G713QR 17.3"" IPS 300Hz R7-5800H 16GB RAM 1TB SSD GeForce 3070","7 199
00
zł",ediaexpert,AMD Ryzen 7 5800H,"16GB, DDR4,DDR4, 2666MHz",1000GB,,"17.3"", 1920 x 1080px, Matryca IPS, 300Hz",Brak,
"Laptop MSI Modern 14 B10MW-264XPL 14"" IPS i5-10210U 8GB RAM 512GB SSD","3 242
58
zł",ediaexpert,Intel Core i5-10210U,"8GB, DDR4",512GB PCIe NVMe,Intel UHD Graphics,"14"", 1920 x 1080px, Matryca IPS, 60Hz",Brak,
"Laptop ASUS ROG Zephyrus M15 GU502LW-AZ057T 15.6"" IPS 240Hz i7-10750H 16GB RAM 1TB SSD GeForce RTX2070 Max-Q Windows 10 Home","4 899
99
zł",ediaexpert,Intel Core i7-10750H,"16GB, DDR4, 2933MHz",1000GB PCIe NVMe 3.0,NVIDIA GeForce RTX 2070 Max-Q + Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 240Hz",Windows 10 Home,
"Laptop HP Omen X 15-DG0011NW 15.6"" IPS i7-9750H 16GB RAM 1TB SSD GeForce 2070 Max-Q Windows 10 Home","12 499
99
zł",ediaexpert,Intel Core i7-9750H,"16GB, DDR4, 2666MHz",1000GB PCIe NVMe,NVIDIA GeForce RTX 2070 Max-Q + Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca IPS, LED, 240Hz, Ekran dotykowy",Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),
"Laptop LENOVO IdeaPad Gaming 3 15ACH6 15.6"" IPS 144Hz R5-5500H 16GB RAM 512GB SSD GeForce RTX2050","2 399
00
zł",ediaexpert,AMD Ryzen 5 5500H,"16GB, DDR4, 3200MHz",512GB PCIe NVMe 4.0 x4,NVIDIA GeForce RTX 2050 + AMD Radeon Graphics,"15.6"", 1920 x 1080px, Matryca IPS, 144Hz",Brak,
"Laptop DELL G15 5530-8522 15.6"" i5-13450HX 16GB RAM 512GB SSD GeForce RTX3050 Windows 11 Home","3 898
99
zł",ediaexpert,Intel Core i5-13450HX,"16GB, DDR5, 4800MHz",512GB PCIe NVMe 4.0 x4,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,"15.6"", 1920 x 1080px, Matryca WVA, LED, 120Hz",Windows 11 Home,
"Laptop LENOVO Legion Pro 5 16IRX9 16"" IPS 240Hz i5-14500HX 32GB RAM 1TB SSD GeForce RTX4060 DLSS 3 Windows 11 Home","7 099
99
zł",ediaexpert,Intel Core i5-14500HX,"32GB, DDR5, 5600MHz",1000GB PCIe NVMe 4.0 x4,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"16"", 2560 x 1600px, Matryca IPS, 240Hz",Windows 11 Home,
